Question,Answer,Bonus 1,Bonus 1 Answer,Bonus 2,Bonus 2 Answer,Difficulty Level,Topic,Year,Contest,Round
"Phobos and Deimos drove the chariot of what Greek deity, who was trapped in a net and mocked by the gods when he was caught in bed with Aphrodite",ARES,Which Olympian finally convinced Hephaestus to release Ares and Aphrodite from the net,POSEIDON,What two giant brothers captured Ares and stuffed him in a bronze jar for thirteen months,OTUS and EPHIALTES // ALOADAE,Intermediate,Mythology,2020,Yale Certamen,Preliminary Round 1
"After a series of reforms including an ill-fated Edict on Maximum Prices, what emperor made the unprecedented decision to abdicate in 305 A.D. confident that he had ensured a stable succession by establishing the tetrarchy?",DIOCLETIAN,"Unfortunately, Diocletian overestimated the stability of the tetrarchy. What son of his co-ruler Maximian, angry at not succeeding his biological father, took power until his defeat at Milvian Bridge?",MAXENTIUS,"The last vestiges of Diocletian’s influence ended when what Eastern Augustus, having succeeded Diocletian to the position, issued a deathbed Edict of Toleration ending the Christian persecutions Diocletian had started?",GALERIUS,Intermediate,History,2020,Yale Certamen,Preliminary Round 1
"Which of the following words, if any, is not derived from the same Latin root as the others: enunciate, denounce, annunciation, pronoun?",PRONOUN,From what noun with what meaning are all the others derived?,NŪNTIUS (NŪNTIĪ) = MESSENGER / MESSAGE,From what noun with what meaning is “pronoun” derived?,NŌMEN (NŌMINIS) = NAME,Intermediate,Grammar Derivatives,2020,Yale Certamen,Preliminary Round 1
"What is the modern name of the country that contained the Hibērus River , today called the Ebro River , and was known as Hispānia?",SPAIN,"Spain without the “s” , What river was formerly known as the Rhēnus?",RHINE (RIVER),What river was formerly known as the Rhodanus?,RHÔNE (RIVER),Intermediate,Geography,2020,Yale Certamen,Preliminary Round 1
"What woman speaks the following lines in Sophocles’s Trachinian Women ? “When I smeared the ointment on my husband’s robe, [...] I followed to the letter everything that beastly centaur told me, as he lay with the death-bearing arrow in his side.”",DEIANEIRA,"To whom does Heracles speak the following lines in a Sophocles play? “Stay son of Poeas until you’ve heard me, [...] Go to Troy with this man to be healed to be first for your power and with my bow to topple Paris seed of all your suffering.”",PHILOCTETES,"Identify the speaker of the following lines from Aeschylus: “No keep quiet and keep yourself clear of harm, For even if I am in a sore plight I would not wish affliction on everyone else, No certainly no! since besides I am distressed by the fate of my brother Atlas who towards the west stands bearing on his shoulders the pillar of heaven and earth a burden not easy for his arms to grasp.”",PROMETHEUS,Intermediate,Literature,2020,Yale Certamen,Preliminary Round 1
"Keeping in mind the recent election , change the Latin phrase quattuor cupientēs ōrātōrēs to the accusative",QUATTUOR CUPIENTĒS/-ĪS ŌRĀTŌRĒS,Change that phrase to the genitive,QUATTUOR CUPIENTIUM ŌRĀTŌRUM,"Ultimately, only one pair of candidates may prevail. Change the phrase duo senātōrēs regentēs to the dative",DUŌBUS SENĀTŌRIBUS REGENTIBUS,Intermediate,Grammar Forms,2020,Yale Certamen,Preliminary Round 1
"Identify the use of the accusative in the following Latin sentence, “Quattuor hōrās stetimus in mediā viā.”",DURATION / EXTENT OF TIME // TIME HOW LONG,"Identify the use of the genitive in the following Latin sentence, “Cēnam ēdī dē pōculō pānis.”",MATERIAL,"Identify both uses of the ablative in the following Latin sentence, “Multō maior sum sorōre meā.”",COMPARATIVE / COMPARISON and DEGREE OF DIFFERENCE,Intermediate,Grammar Usage,2020,Yale Certamen,Preliminary Round 1
"According to Livy, what son of Demaratus was persuaded to emigrate to Rome by his ambitious wife, Tanaquil, becoming the first Roman king of Etruscan origin?",LUCUMO // (LUCIUS) TARQUINIUS PRISCUS,"What miracle happened to an enslaved boy in the palace of Tarquinius, which Tanaquil interpreted to mean that he would one day be the next king?","HIS HEAD SET ON FIRE (WITHOUT HARMING HIM) [A,EPT EQUIVALENTS]","Tarquinius’s father was also an immigrant, coming to Etruria from what Greek city?",CORINTH,Intermediate,History,2020,Yale Certamen,Preliminary Round 1
"What fisherman whose name literally means ""net"" found a washed-up chest on the shores of Seriphos, saving Danaë and Perseus?",DICTYS,What brother of Dictys was the king of Seriphos and demanded Danaë's hand in marriage?,POLYDECTES,"According to Hyginus, Polydectes married Danaë and helped her son Perseus reconcile with what man, his grandfather and the father of Danaë?",ACRISIUS,Intermediate,Mythology,2020,Yale Certamen,Preliminary Round 1
"For the verb ""portō"", give the second person plural, perfect active indicative.",PORTĀVISTIS,Make that form pluperfect.,PORTĀVERĀTIS,Make that form future perfect.,PORTĀVERITIS,Intermediate,Grammar Forms,2020,Yale Certamen,Preliminary Round 1
