Question,Answer,Bonus 1,Bonus 1 Answer,Bonus 2,Bonus 2 Answer,Difficulty Level,Topic,Year,Contest,Round,Question Number
The Lex Canuleia abolished what prohibition set forth in the 12 Tables?,That against plebeian-patrician intermarriage,What was the effect of the Lex Ogulnia?,Opened priesthood to plebeians,"During what war did the Romans pass the Lex Oppia, which restricted a woman’s wealth as well as her ability to display her wealth in her dress and other personal adornments?",2nd Punic War,Advanced,History,2013,Yale 2013 Advanced,Preliminary Round 1,1
"Who was the author of the following works of Latin Literature, Medea, Remedia Amoris, Medicamnia Faciei Femineae, Fasti, Metamorphoses",OVID,What other work of Ovid’s was most likely the “carmen” that helped cause his banishment?,ARS AMATORIA,Where was Ovid exiled?,TOMI,Advanced,Literature,2013,Yale,Preliminary Round 1,2
"Who became a bird, a tree, and a tigress in rapid succession as she attempted to resist the embrace of Peleus?",THETIS,Who were the parents of Thetis?,NEREUS AND DORIS,"Whom did Thetis once summon from Tartarus to aid Zeus when Poseidon, Hera, and Athena rebelled against him?",(O)BRIAREÜS,Advanced,Mythology,2013,Yale 2013 Advanced,Preliminary Round 1,3
"What fruit did the Romans call, malum punicum?",POMEGRANATE,"What fruit did the Romans call, malum persicum?",PEACH,"What fruit did the Romans call, cerasus?",CHERRY,Advanced,Daily Life,2013,Yale,Preliminary Round 1,4
"Quid Anglicē significat “carcer”,",PRISON / STARTING GATE,"Quid Anglicē significat “cinis”,",ASHES / DEATH / RUIN,"Quid Anglicē significat “carīna”,",KEEL / SHIP,Advanced,Grammar Vocab,2013,Yale 2013 Advanced,Preliminary Round 1,5
"Make the pronoun hic, haec, hoc agree with the noun form moenia",HAEC,"Now make the pronoun hic, haec, hoc agree with the noun form mōrēs",HĪ / HŌS,Make the phrase hī mōrēs ablative singular,HŌC MŌRE,Advanced,Grammar Forms,2013,Yale 2013 Advanced,Preliminary Round 1,6
"What poet, patronized by Maecenas, wrote 4 books of elegy addressed to a woman named Cynthia?",PROPERTIUS,What is the real name of Propertius’ Cynthia?,HOSTIA,What was the title given to Propertius’ first book of elegy?,MONOBIBLOS,Advanced,Literature,2013,Yale Certamen 2013,Preliminary Round 1,7
What Roman general led the sack of Syracuse in 211 BC?,Marcellus,What Roman general led the sack of Corinth in 146 BC?,Mummius,What Roman general led the sack of Athens in 86 BC?,Sulla,Advanced,History,2013,Yale Certamen 2013,Preliminary Round 1,8
"The nouns rāstrum, iocus, and epulum all share what grammatical oddity?",Heterogeneous,"What do the following nouns have in common grammatically: lūdus, finis, opus?",Different meanings in the singular and plural,"What do the following nouns have in common grammatically: fidēs, grātia, nātālis?",Different meanings in the singular and plural,Advanced,Grammar Derivatives,2013,Yale Certamen 2013,Preliminary Round 1,9
What daughter of Gaia and Ouranos lay with an Olympian god for nine consecutive nights in Pieria and bore him just as many talented daughters?,MNEMOSYNE,"According to Pausanias, what two giants were the first to locate the Muses on Mount Helicon?",OTUS & EPHIALTES,"The Muses were notorious for vindictiveness when challenged, Whom did they blind and take away his poetic abilities when he challenged them to a singing contest and lost?",THAMYRIS,Advanced,Mythology,2013,Yale 2013 Advanced,Preliminary Round 1,10
"Listen carefully to the following passage, which I will read twice, then answer the questions that follow, Puer nomine Marcus, et puella nomine Iulia, in domo antiquo habitaverunt, Mater eorum, uno die, iussit eos ascendere proximum collem ut obtinerent aquam, Itaque Marcus et Iulia ascenderunt collem quam cellerime quo magis placerent matri, Subito, autem, Marcus labitur et volvit sub collem, Quid mater iussit liberos obtinere?",AQUAM,Quomodo liberi ascenderunt collem?,QUAM CELERRIMĒ,Quid accidit dum liberi ascenderent?,MARCUS LABITUR ET SUB COLLEM VOLVIT,Advanced,Grammar Listening Comprehension,2013,Yale 2013 Advanced,Preliminary Round 1,11
What author of Iberian and Celtic ancestry who came to Rome from Spain circa 63 AD wrote a poem commemorating the opening of the Colosseum?,MARTIAL,What was the title of this work?,LIBER SPECTACULORUM,For what style of poetry was Martial most famous?,EPIGRAM,Advanced,Literature,2013,Yale 2013,Preliminary Round 1, 12
